milk_regular_1_liter,loaf_of_fresh_white_bread_500g,eggs_regular_12,local_cheese_1kg,water_15_liter_bottle,bottle_of_wine_midrange,domestic_beer_05_liter_bottle,imported_beer_033_liter_bottle,cigarettes_20_pack_marlboro,chicken_fillets_1kg,apples_1kg,oranges_1kg,potato_1kg,lettuce_1_head,rice_white_1kg,tomato_1kg,banana_1kg,onion_1kg,beef_round_1kg_or_equivalent_back_leg_red_meat
Albania,1.92,0.92,3.36,11.21,0.66,9.61,1.37,1.92,3.74,7.17,1.42,1.65,1.06,1.18,2.05,1.66,2.36,1.11,13.86
Algeria,0.88,0.14,1.71,7.70,0.29,7.19,1.58,1.91,2.52,4.82,2.98,1.67,0.51,0.53,1.48,0.72,2.91,0.45,14.90
Argentina,1.27,1.90,2.23,8.89,1.39,5.00,1.55,2.32,2.54,6.29,2.14,1.35,1.16,1.39,1.92,2.40,2.04,1.21,7.76
Armenia,1.57,0.81,2.41,7.88,0.62,10.00,1.27,2.12,2.50,7.27,1.20,1.64,0.74,0.86,2.35,2.12,1.72,0.67,11.80
Australia,1.54,2.43,4.13,9.18,1.57,12.88,4.64,5.18,28.99,8.41,3.14,2.88,2.42,2.20,2.11,4.28,2.70,2.11,13.79
Austria,1.52,2.71,4.22,17.00,0.79,8.41,1.33,1.84,6.57,13.68,2.61,2.90,1.95,1.72,2.40,4.26,2.16,1.85,21.02
Azerbaijan,1.32,0.43,1.40,5.10,0.59,7.06,1.34,2.66,3.53,4.52,1.00,1.44,0.64,0.41,2.25,1.79,1.65,0.47,9.73
Bahrain,1.69,1.48,2.74,8.86,0.75,23.87,2.84,3.58,6.23,7.00,2.55,2.10,0.92,1.70,2.86,1.44,2.17,1.10,10.96
Bangladesh,0.73,0.61,1.22,7.49,0.28,-,-,-,2.88,2.56,2.23,2.10,0.40,0.35,0.59,0.66,0.90,0.69,6.44
Belarus,0.70,0.56,1.28,6.12,0.56,6.11,0.86,1.70,1.79,3.69,1.06,1.67,0.46,1.12,1.14,2.03,1.64,0.61,6.87
Belgium,1.18,2.17,3.55,13.80,0.94,7.36,1.74,2.05,9.46,10.78,2.52,2.40,1.91,1.26,2.12,2.64,2.06,1.53,17.02
Bolivia,0.96,1.22,1.78,4.58,1.09,5.78,1.84,2.69,2.89,3.27,2.05,1.21,1.05,0.74,1.06,1.16,1.07,0.81,5.93
Bosnia_And_Herzegovina,1.23,0.99,2.57,7.90,0.65,5.64,0.85,1.14,3.33,6.85,1.20,1.53,0.99,0.95,1.84,1.74,1.57,1.10,10.02
Brazil,0.89,1.37,1.84,7.72,0.60,6.62,1.08,1.98,1.99,3.34,1.88,1.00,1.07,0.65,1.07,1.36,1.18,1.02,6.64
Bulgaria,1.66,0.99,3.23,9.86,0.65,6.44,0.97,1.58,3.22,7.10,1.50,1.66,1.03,0.93,1.99,2.28,1.82,1.07,11.00
Canada,2.16,2.63,3.41,11.15,1.76,12.80,2.88,3.25,14.22,11.98,4.07,3.73,2.62,2.50,3.58,4.07,1.40,2.60,14.44
Chile,1.15,1.49,3.49,10.39,1.18,5.14,1.40,2.17,5.14,5.90,1.90,1.81,1.43,1.20,1.67,1.71,1.63,1.44,10.82
China,1.83,1.64,1.65,12.90,0.55,11.00,0.80,1.68,3.44,3.35,1.79,1.54,0.76,0.62,0.96,1.18,1.29,0.91,11.04
Colombia,1.06,1.29,1.95,4.37,0.71,8.96,0.95,1.65,2.24,4.78,2.34,1.23,1.01,0.74,1.11,1.10,0.93,1.05,7.31
Costa_Rica,1.98,3.06,3.41,8.51,2.35,15.74,2.35,2.78,4.92,9.61,4.61,3.10,2.68,0.99,2.36,2.83,1.56,2.75,13.26
Croatia,1.17,1.43,3.39,10.39,1.05,6.31,1.43,2.02,5.15,9.00,1.51,1.68,1.11,1.09,2.69,2.33,1.53,1.16,10.97
Cuba,2.86,1.20,3.02,6.25,1.07,10.00,2.03,2.09,3.70,5.41,4.33,1.53,1.79,0.95,2.06,1.45,1.17,2.51,11.34
Cyprus,1.72,1.82,3.78,12.53,0.94,7.36,1.65,2.38,5.26,8.56,2.67,1.94,1.38,0.80,2.57,2.91,1.90,1.36,13.17
Czech_Republic,1.02,1.38,2.67,11.07,0.68,6.06,0.85,1.79,6.27,8.34,1.51,1.99,1.15,1.34,2.18,3.01,1.61,1.10,11.82
